direction	spBLEU	chrF++	len_ratio
glg_Latn-ckb_Arab	18.93	40.49	1.047
mri_Latn-pol_Latn	16.71	34.49	0.979
nob_Latn-sna_Latn	15.26	39.16	0.969
tat_Cyrl-tso_Latn	15.72	41.14	1.054
acq_Arab-ces_Latn	25.57	44.27	0.992
jav_Latn-azb_Arab	3.79	20.93	1.132
dik_Latn-taq_Latn	2.73	17.22	0.991
hun_Latn-nld_Latn	27.27	48.66	0.981
mni_Beng-bos_Latn	17.55	38.36	0.991
lin_Latn-ckb_Arab	13.80	33.80	0.974
nya_Latn-kas_Arab	10.00	22.62	0.960
eng_Latn-som_Latn	18.21	42.75	1.009
hau_Latn-cym_Latn	27.55	45.04	0.981
tuk_Latn-srd_Latn	21.19	43.19	1.020
apc_Arab-shn_Mymr	11.14	30.63	0.970
sna_Latn-bem_Latn	8.61	32.08	0.896
knc_Latn-isl_Latn	9.18	26.54	1.037
tpi_Latn-gaz_Latn	6.70	28.78	1.040
ajp_Arab-mkd_Cyrl	27.10	49.52	0.966
lim_Latn-nso_Latn	20.52	44.09	1.005
jpn_Jpan-bug_Latn	5.23	27.57	1.033
kaz_Cyrl-tum_Latn	9.69	31.99	0.821
hin_Deva-crh_Latn	19.78	40.26	0.959
ast_Latn-pol_Latn	24.81	42.41	0.924
san_Deva-ita_Latn	18.01	39.46	0.935
tha_Thai-isl_Latn	20.53	38.74	0.971
zul_Latn-szl_Latn	18.92	36.22	0.952
tsn_Latn-ilo_Latn	17.99	42.69	0.944
yue_Hant-ilo_Latn	17.34	43.46	0.965
afr_Latn-fur_Latn	33.25	52.08	0.986
ajp_Arab-mos_Latn	4.02	22.71	1.139
tpi_Latn-apc_Arab	15.85	31.35	1.072
mya_Mymr-ayr_Latn	5.57	27.58	1.123
mlt_Latn-kmr_Latn	16.53	36.42	1.003
ary_Arab-nob_Latn	20.05	42.76	0.954
glg_Latn-yor_Latn	10.10	25.34	1.147
scn_Latn-fur_Latn	31.49	50.87	0.975
hye_Armn-ceb_Latn	24.99	50.33	1.011
lug_Latn-taq_Tfng	5.49	16.23	0.891
khm_Khmr-tum_Latn	9.52	31.36	0.865
aeb_Arab-ydd_Hebr	10.82	30.81	1.006
tzm_Tfng-khm_Khmr	9.72	22.50	0.937
arz_Arab-pol_Latn	22.68	41.06	0.988
uig_Arab-heb_Hebr	21.29	37.69	0.959
mni_Beng-awa_Deva	13.31	30.43	1.081
luo_Latn-jpn_Jpan	9.40	14.54	0.993
tum_Latn-ces_Latn	15.12	31.97	0.975
aka_Latn-acq_Arab	11.70	26.77	1.030
hrv_Latn-gla_Latn	20.41	42.82	0.968
amh_Ethi-kbp_Latn	10.05	27.47	1.028
cym_Latn-khm_Khmr	18.28	32.83	0.900
ben_Beng-szl_Latn	19.80	37.81	0.954
kab_Latn-arz_Arab	13.01	28.61	1.003
pan_Guru-tgl_Latn	26.11	51.94	0.955
lvs_Latn-mai_Deva	14.13	33.74	1.028
shn_Mymr-kac_Latn	11.29	34.86	1.046
est_Latn-kas_Deva	3.74	15.62	0.931
knc_Arab-hin_Deva	2.98	13.12	1.078
hun_Latn-jav_Latn	18.48	43.84	0.975
kas_Deva-tha_Thai	18.04	28.18	1.019
twi_Latn-fin_Latn	13.58	33.27	0.916
kaz_Cyrl-por_Latn	32.16	52.01	0.977
tzm_Tfng-kac_Latn	7.78	30.93	1.076
khm_Khmr-sag_Latn	8.90	34.20	1.060
mlt_Latn-ron_Latn	38.04	56.21	0.965
mag_Deva-ast_Latn	20.27	44.26	1.035
swe_Latn-ltg_Latn	23.78	43.48	1.002
als_Latn-sat_Beng	15.98	24.48	0.929
ace_Arab-lao_Laoo	8.96	23.59	1.038
fao_Latn-azj_Latn	15.64	34.43	0.903
tso_Latn-tel_Telu	22.29	37.12	0.979
cym_Latn-kac_Latn	12.62	35.86	0.958
kat_Geor-mni_Beng	17.97	30.62	1.028
khk_Cyrl-nus_Latn	10.29	24.38	1.118
kat_Geor-scn_Latn	7.68	29.93	0.968
shn_Mymr-khm_Khmr	13.31	27.66	0.928
som_Latn-zul_Latn	18.61	41.02	0.939
ajp_Arab-fij_Latn	18.34	43.47	1.008
lvs_Latn-tur_Latn	24.85	44.59	0.964
aka_Latn-knc_Latn	4.45	21.72	1.160
lus_Latn-shn_Mymr	8.78	27.37	0.938
bho_Deva-lit_Latn	20.35	42.31	1.005
umb_Latn-scn_Latn	3.76	20.49	0.877
vec_Latn-ajp_Arab	24.94	41.29	0.993
umb_Latn-mni_Beng	8.96	20.19	0.944
kac_Latn-quy_Latn	3.13	23.22	1.217
ace_Latn-urd_Arab	14.95	31.87	1.012
tat_Cyrl-vie_Latn	29.51	48.86	0.961
kan_Knda-ewe_Latn	12.00	34.16	1.068
kaz_Cyrl-sag_Latn	8.68	33.61	1.013
asm_Beng-tpi_Latn	14.30	39.43	0.833
luo_Latn-lim_Latn	8.86	28.40	0.939
ayr_Latn-ajp_Arab	6.00	19.68	1.338
khm_Khmr-por_Latn	28.28	48.53	1.006
ind_Latn-nob_Latn	27.11	49.61	0.956
isl_Latn-zsm_Latn	25.40	50.14	0.990
fij_Latn-khk_Cyrl	11.31	27.34	0.906
prs_Arab-quy_Latn	3.89	26.67	1.112
ilo_Latn-ben_Beng	24.34	38.41	0.994
deu_Latn-tat_Cyrl	28.34	46.25	0.981
sat_Beng-ben_Beng	14.31	28.64	1.020
kor_Hang-nso_Latn	15.24	40.88	1.052
dyu_Latn-ace_Arab	2.33	12.47	1.139
lua_Latn-afr_Latn	15.00	35.66	0.930
mar_Deva-bjn_Arab	5.08	17.69	1.139
grn_Latn-ewe_Latn	10.43	31.69	1.050
kea_Latn-spa_Latn	26.81	48.75	0.921
gaz_Latn-cym_Latn	21.36	39.62	1.004
san_Deva-pap_Latn	17.62	38.84	0.988
knc_Arab-eng_Latn	3.08	17.52	1.118
kor_Hang-vec_Latn	11.36	35.80	0.963
mkd_Cyrl-srp_Cyrl	33.47	52.24	0.949
lij_Latn-tpi_Latn	17.47	42.60	0.832
fur_Latn-dyu_Latn	2.40	17.82	0.976
khm_Khmr-kor_Hang	15.70	24.94	1.019
als_Latn-pes_Arab	26.86	44.36	1.006
kor_Hang-rus_Cyrl	25.37	43.41	0.957
ary_Arab-lug_Latn	6.84	31.86	1.119
ell_Grek-mar_Deva	20.26	38.74	0.998
ron_Latn-ilo_Latn	22.79	48.59	1.001
bug_Latn-hye_Armn	17.40	31.34	0.893
ceb_Latn-fon_Latn	4.83	19.04	1.080
tso_Latn-mal_Mlym	21.23	35.58	0.936
lua_Latn-ceb_Latn	15.61	37.94	0.919
swe_Latn-sot_Latn	16.59	41.97	0.982
ydd_Hebr-asm_Beng	17.28	31.73	1.006
tpi_Latn-bam_Latn	6.42	25.51	1.047
zsm_Latn-fon_Latn	4.91	18.39	1.092
afr_Latn-kan_Knda	32.44	47.93	0.990
mar_Deva-isl_Latn	22.12	40.47	0.966
ckb_Arab-tat_Cyrl	20.89	39.78	0.944
ars_Arab-vie_Latn	29.56	49.99	0.992
ind_Latn-kam_Latn	3.78	22.62	1.102
est_Latn-tur_Latn	27.03	46.38	0.955
kin_Latn-lin_Latn	18.42	44.74	1.027
scn_Latn-kan_Knda	25.21	41.27	0.989
szl_Latn-kmb_Latn	4.46	25.52	1.004
hat_Latn-som_Latn	14.20	37.72	0.981
nno_Latn-kab_Latn	10.20	29.25	1.078
pes_Arab-ydd_Hebr	10.93	31.51	1.022
yor_Latn-quy_Latn	3.28	22.85	1.068
gle_Latn-twi_Latn	11.44	32.88	0.965
azb_Arab-uzn_Latn	14.73	33.92	0.975
mos_Latn-zul_Latn	8.98	27.65	0.993
gla_Latn-dik_Latn	4.06	20.08	1.354
wol_Latn-lmo_Latn	4.62	21.55	0.956
kaz_Cyrl-kor_Hang	18.99	27.03	0.972
lim_Latn-lij_Latn	21.95	40.49	0.984
kik_Latn-nld_Latn	15.23	35.55	1.027
ban_Latn-mar_Deva	18.02	35.06	0.966
sag_Latn-run_Latn	7.74	27.00	1.044
taq_Tfng-ces_Latn	4.94	19.01	0.971
hye_Armn-afr_Latn	29.46	52.52	0.979
tam_Taml-quy_Latn	3.14	24.72	1.112
azj_Latn-tir_Ethi	11.42	20.12	1.058
lvs_Latn-kas_Deva	3.60	15.34	0.939
spa_Latn-mri_Latn	18.56	41.97	0.999
est_Latn-mai_Deva	15.04	34.38	1.012
kaz_Cyrl-ukr_Cyrl	27.12	45.71	0.951
kaz_Cyrl-deu_Latn	28.90	49.56	0.958
kor_Hang-lij_Latn	15.94	34.78	1.032
uig_Arab-eus_Latn	15.03	36.75	0.895
ydd_Hebr-plt_Latn	18.86	45.57	1.029
tel_Telu-kab_Latn	10.00	28.69	1.064
ind_Latn-lug_Latn	9.61	35.26	1.108
pag_Latn-xho_Latn	13.10	34.17	0.911
jpn_Jpan-gle_Latn	18.66	39.10	0.987
lim_Latn-rus_Cyrl	27.65	44.85	0.937
uzn_Latn-kir_Cyrl	22.36	40.19	1.010
azb_Arab-dik_Latn	2.26	16.91	1.489
bos_Latn-fon_Latn	4.66	18.63	1.110
gla_Latn-uzn_Latn	20.69	40.29	0.991
cat_Latn-swe_Latn	38.19	57.27	0.988
ace_Latn-prs_Arab	15.03	33.97	0.996
dzo_Tibt-ace_Arab	3.70	14.93	1.148
bjn_Arab-snd_Arab	8.52	23.54	1.120
lim_Latn-vec_Latn	15.83	39.88	1.000
bjn_Arab-kik_Latn	5.38	25.17	1.048
arb_Arab-quy_Latn	3.55	25.82	1.056
lit_Latn-kbp_Latn	10.09	26.99	0.976
acm_Arab-taq_Latn	2.91	21.04	0.971
khm_Khmr-deu_Latn	24.63	45.91	0.975
lao_Laoo-bho_Deva	14.41	32.70	0.955
knc_Latn-bjn_Arab	3.67	16.09	1.269
mkd_Cyrl-pag_Latn	15.42	43.03	1.157
mri_Latn-mag_Deva	16.29	34.76	1.045
khm_Khmr-ukr_Cyrl	21.54	40.41	0.977
kam_Latn-glg_Latn	11.25	29.32	0.856
ary_Arab-kam_Latn	3.06	22.66	1.168
luo_Latn-bel_Cyrl	12.89	27.69	0.836
tha_Thai-bjn_Arab	5.04	17.71	1.129
wol_Latn-ltz_Latn	11.58	30.44	0.995
smo_Latn-mya_Mymr	11.60	25.56	0.857
quy_Latn-tam_Taml	11.38	28.09	0.925
mai_Deva-npi_Deva	27.85	46.71	1.012
kik_Latn-jav_Latn	11.86	34.68	1.086
mar_Deva-ilo_Latn	20.35	46.26	0.982
twi_Latn-gle_Latn	15.24	34.53	0.980
kea_Latn-knc_Latn	5.03	23.40	1.093
mri_Latn-ace_Latn	7.27	29.77	0.960
shn_Mymr-fon_Latn	4.35	18.39	1.125
grn_Latn-ltz_Latn	15.67	35.75	0.976
lao_Laoo-awa_Deva	12.15	30.32	1.078
tat_Cyrl-aka_Latn	7.89	29.26	0.944
dyu_Latn-npi_Deva	6.73	18.00	1.007
ron_Latn-isl_Latn	25.86	43.61	0.976
jav_Latn-ell_Grek	25.93	41.07	0.913
ajp_Arab-gla_Latn	19.52	42.48	1.005
bjn_Arab-luo_Latn	5.39	26.76	1.102
smo_Latn-tpi_Latn	15.15	38.96	0.815
ssw_Latn-quy_Latn	3.32	23.15	0.964
kmr_Latn-kir_Cyrl	17.26	35.14	0.962
kat_Geor-taq_Tfng	6.01	17.26	0.970
kan_Knda-ltz_Latn	21.35	42.30	0.970
ilo_Latn-vec_Latn	13.99	37.93	0.956
umb_Latn-taq_Tfng	4.23	14.68	0.829
sat_Beng-vec_Latn	6.84	27.37	1.032
aka_Latn-spa_Latn	16.05	36.40	0.954
ilo_Latn-rus_Cyrl	26.04	43.27	0.949
tir_Ethi-kan_Knda	21.46	37.79	0.935
sat_Beng-rus_Cyrl	12.03	29.45	0.979
tgk_Cyrl-twi_Latn	10.29	32.53	1.000
rus_Cyrl-slv_Latn	27.82	48.25	0.988
kin_Latn-cjk_Latn	2.14	19.15	1.109
quy_Latn-bul_Cyrl	13.03	29.51	0.922
xho_Latn-hye_Armn	24.24	38.98	0.909
ace_Arab-tgl_Latn	9.23	32.57	1.014
hrv_Latn-mkd_Cyrl	32.84	53.18	0.942
quy_Latn-wol_Latn	4.47	20.32	1.082
mlt_Latn-bod_Tibt	5.42	25.80	1.062
ars_Arab-azb_Arab	3.50	22.20	1.151
rus_Cyrl-fra_Latn	39.54	57.30	0.991
kab_Latn-srp_Cyrl	14.95	34.65	0.948
lao_Laoo-bos_Latn	23.46	44.33	0.965
hrv_Latn-mos_Latn	4.64	21.98	1.075
nya_Latn-lua_Latn	7.60	31.71	1.021
fon_Latn-tat_Cyrl	8.41	23.46	0.922
hye_Armn-ckb_Arab	17.71	39.46	1.031
slv_Latn-ayr_Latn	6.22	28.46	1.056
grn_Latn-lmo_Latn	4.94	23.44	0.916
kab_Latn-pag_Latn	10.47	35.53	1.135
khm_Khmr-tzm_Tfng	14.54	26.55	1.078
hun_Latn-dan_Latn	32.18	53.01	0.970
plt_Latn-hye_Armn	24.42	39.53	0.926
fin_Latn-heb_Hebr	27.82	44.19	1.002
kas_Deva-bak_Cyrl	13.61	31.33	1.027
mos_Latn-run_Latn	7.23	26.03	1.062
pan_Guru-lao_Laoo	23.87	39.63	0.928
ukr_Cyrl-kat_Geor	31.24	46.43	0.962
cat_Latn-tel_Telu	30.94	46.91	0.995
kan_Knda-lmo_Latn	5.98	26.76	0.921
fij_Latn-bel_Cyrl	13.02	27.72	0.836
sag_Latn-zul_Latn	9.79	29.06	0.949
srd_Latn-ajp_Arab	25.65	42.00	1.008
vie_Latn-ssw_Latn	15.07	38.83	1.034
dik_Latn-kea_Latn	7.03	23.24	0.940
lin_Latn-ceb_Latn	20.58	44.56	0.950
cym_Latn-fon_Latn	4.54	18.26	1.211
min_Latn-kaz_Cyrl	20.01	39.11	0.943
npi_Deva-crh_Latn	19.36	39.61	0.959
yue_Hant-bjn_Arab	4.23	16.54	1.095
tsn_Latn-bjn_Arab	5.01	17.02	1.148
fao_Latn-ltg_Latn	17.61	36.33	1.003
ars_Arab-zho_Hant	15.42	14.38	0.935
swe_Latn-azj_Latn	20.83	39.71	0.915
lug_Latn-mni_Beng	13.47	25.01	0.956
glg_Latn-war_Latn	24.95	50.55	1.016
kea_Latn-acq_Arab	21.44	37.07	1.011
lij_Latn-mya_Mymr	11.58	25.72	0.879
lug_Latn-scn_Latn	5.88	24.78	0.893
kaz_Cyrl-tzm_Tfng	15.04	26.19	1.040
sat_Beng-lij_Latn	9.80	26.90	1.121
ilo_Latn-lij_Latn	19.22	37.47	1.032
eus_Latn-shn_Mymr	11.49	30.57	0.931
bem_Latn-ell_Grek	20.49	35.65	0.932
ars_Arab-grn_Latn	10.49	31.63	1.067
guj_Gujr-mri_Latn	15.45	39.49	0.934
tzm_Tfng-fon_Latn	3.20	16.74	1.110
ita_Latn-mri_Latn	18.92	42.21	0.987
hrv_Latn-fij_Latn	19.13	43.27	0.951
bjn_Arab-san_Deva	2.13	16.06	1.296
yue_Hant-isl_Latn	20.68	39.01	0.954
asm_Beng-mya_Mymr	12.99	26.75	0.863
ell_Grek-ars_Arab	25.03	40.61	0.937
tsn_Latn-isl_Latn	18.23	35.78	0.940
wol_Latn-ewe_Latn	8.63	28.93	1.078
mkd_Cyrl-arz_Arab	20.76	37.19	1.065
ltg_Latn-lit_Latn	23.80	46.20	0.986
kmb_Latn-tir_Ethi	6.16	12.31	0.876
mai_Deva-ace_Arab	5.79	18.20	1.136
lin_Latn-afr_Latn	20.45	42.64	0.944
tha_Thai-ilo_Latn	19.43	45.45	0.999
als_Latn-ban_Latn	11.31	37.25	1.063
lmo_Latn-lit_Latn	21.60	43.07	0.989
bjn_Latn-quy_Latn	4.69	27.02	1.127
dzo_Tibt-npi_Deva	11.56	28.61	0.961
bem_Latn-tso_Latn	17.15	41.33	1.035
jpn_Jpan-fin_Latn	19.83	41.48	0.930
knc_Latn-ilo_Latn	9.79	34.96	1.080
fij_Latn-jpn_Jpan	9.37	15.27	0.936
cat_Latn-mal_Mlym	30.39	45.12	0.960
por_Latn-quy_Latn	4.63	26.81	1.048
swh_Latn-uig_Arab	15.65	31.05	1.014
fao_Latn-sot_Latn	13.88	37.92	0.967
ceb_Latn-kac_Latn	12.56	35.89	0.930
tgl_Latn-dyu_Latn	1.65	15.02	0.863
tat_Cyrl-zho_Hant	13.22	14.14	0.778
zsm_Latn-kac_Latn	13.01	36.08	0.933
ydd_Hebr-hrv_Latn	25.01	46.21	0.990
tir_Ethi-fur_Latn	18.31	38.17	0.948
acm_Arab-kea_Latn	15.18	37.90	1.034
ban_Latn-ars_Arab	22.84	38.07	0.967
war_Latn-bem_Latn	10.13	34.05	0.938
fin_Latn-eus_Latn	14.35	35.13	0.856
bos_Latn-khm_Khmr	17.04	32.30	0.915
ydd_Hebr-pbt_Arab	15.79	32.98	1.024
tat_Cyrl-grn_Latn	10.93	30.96	1.022
lim_Latn-ben_Beng	23.01	37.58	0.970
som_Latn-run_Latn	13.84	35.29	1.008
kas_Arab-tat_Cyrl	19.51	37.69	0.970
dan_Latn-ydd_Hebr	12.65	33.30	1.008
ars_Arab-aka_Latn	7.85	30.17	0.946
bak_Cyrl-aeb_Arab	10.27	27.30	1.301
ceb_Latn-khm_Khmr	15.19	31.84	0.920
bul_Cyrl-kbp_Latn	9.50	26.86	1.039
fij_Latn-lim_Latn	8.83	28.39	0.925
twi_Latn-bug_Latn	5.55	26.03	1.032
acq_Arab-mri_Latn	18.65	42.12	1.000
zsm_Latn-khm_Khmr	17.51	32.93	0.890
isl_Latn-ary_Arab	7.12	23.41	1.369
mni_Beng-bho_Deva	14.34	31.93	0.958
kor_Hang-ben_Beng	22.87	37.69	0.983
bos_Latn-kac_Latn	12.18	35.72	0.949
ilo_Latn-nso_Latn	18.68	43.65	1.048
sat_Beng-nso_Latn	9.63	33.13	1.108
nob_Latn-glg_Latn	27.84	49.95	0.945
luo_Latn-khk_Cyrl	11.29	27.17	0.935
bam_Latn-glg_Latn	13.74	33.67	0.961
fuv_Latn-ces_Latn	8.37	24.01	1.014
cjk_Latn-bem_Latn	4.62	24.91	0.910
kik_Latn-dan_Latn	19.42	38.94	0.997
ewe_Latn-swh_Latn	13.80	36.50	0.919
tso_Latn-swe_Latn	24.12	44.12	0.962
lua_Latn-ckb_Arab	10.05	27.91	0.982
jav_Latn-tso_Latn	19.93	43.87	1.017
tat_Cyrl-azb_Arab	3.41	20.63	1.151
ron_Latn-bjn_Arab	6.18	19.00	1.132
ace_Latn-sin_Sinh	20.90	29.32	0.976
knc_Arab-acm_Arab	1.21	10.07	1.182
bem_Latn-vie_Latn	24.15	42.03	0.971
tum_Latn-mri_Latn	13.38	34.95	0.970
ell_Grek-azj_Latn	19.65	38.51	0.926
zho_Hant-deu_Latn	23.41	44.85	0.997
nld_Latn-rus_Cyrl	27.88	45.36	0.946
hun_Latn-lim_Latn	13.33	36.24	0.953
mya_Mymr-kmb_Latn	2.22	21.85	1.020
nld_Latn-vec_Latn	14.32	38.95	0.979
hat_Latn-spa_Latn	25.21	47.32	0.906
kam_Latn-hau_Latn	8.23	27.76	0.889
bjn_Latn-uig_Arab	20.78	36.26	1.014
zho_Hant-ukr_Cyrl	19.49	38.83	1.010
tgl_Latn-bod_Tibt	5.27	26.16	1.075
khk_Cyrl-heb_Hebr	21.39	37.69	0.981
kon_Latn-ast_Latn	11.51	30.66	0.982
eus_Latn-bos_Latn	24.28	45.06	0.932
mai_Deva-tuk_Latn	16.91	36.58	0.939
dan_Latn-mkd_Cyrl	33.63	53.86	0.957
lua_Latn-yor_Latn	5.08	18.96	1.157
luo_Latn-jav_Latn	12.27	33.70	0.996
swh_Latn-quy_Latn	3.81	24.73	1.037
grn_Latn-run_Latn	11.44	33.37	1.063
fur_Latn-kmr_Latn	15.12	35.24	1.009
heb_Hebr-urd_Arab	23.62	42.30	0.997
deu_Latn-kat_Geor	30.92	45.92	0.959
por_Latn-uig_Arab	15.75	31.95	1.041
ltg_Latn-bam_Latn	6.68	27.95	1.046
gla_Latn-taq_Tfng	6.32	17.51	0.962
kik_Latn-bel_Cyrl	10.36	23.91	0.871
eus_Latn-awa_Deva	14.23	31.50	1.030
dan_Latn-mos_Latn	4.95	23.16	1.110
san_Deva-arb_Arab	18.95	35.03	0.964
rus_Cyrl-asm_Beng	17.14	31.61	1.019
kan_Knda-run_Latn	13.80	36.61	1.064
xho_Latn-crh_Latn	15.82	35.01	0.895
ban_Latn-azj_Latn	16.70	35.52	0.909
hau_Latn-bak_Cyrl	18.41	35.71	0.915
wol_Latn-zul_Latn	12.65	32.63	0.981
bos_Latn-epo_Latn	32.08	52.58	0.999
sot_Latn-knc_Arab	4.03	9.42	1.169
mos_Latn-lmo_Latn	3.57	17.93	1.003
lmo_Latn-bam_Latn	7.11	27.78	1.095
dyu_Latn-pan_Guru	8.42	19.23	0.949
gaz_Latn-bak_Cyrl	14.33	32.44	0.915
crh_Latn-bjn_Arab	5.85	18.87	1.140
zsm_Latn-epo_Latn	28.65	49.61	0.988
ceb_Latn-epo_Latn	29.51	49.77	0.999
kir_Cyrl-lin_Latn	12.49	39.88	1.041
ibo_Latn-tgl_Latn	21.56	46.15	0.935
plt_Latn-crh_Latn	16.58	35.93	0.909
lao_Laoo-shn_Mymr	12.55	31.80	0.938
ewe_Latn-lua_Latn	6.01	28.65	0.982
pes_Arab-gla_Latn	19.54	42.55	0.997
isl_Latn-eng_Latn	36.96	56.60	0.977
mai_Deva-nno_Latn	22.08	44.93	0.970
fur_Latn-ron_Latn	35.95	54.38	0.966
hun_Latn-jpn_Jpan	13.82	20.77	0.908
kab_Latn-bem_Latn	7.25	30.69	0.949
kbp_Latn-tir_Ethi	7.57	14.49	0.992
nld_Latn-lij_Latn	19.55	38.44	0.993
npi_Deva-hye_Armn	28.82	44.40	0.935
jav_Latn-vie_Latn	32.32	50.03	0.956
luo_Latn-nld_Latn	16.53	37.27	0.948
sna_Latn-arz_Arab	5.74	19.35	1.683
nso_Latn-knc_Arab	4.16	9.45	1.170
tuk_Latn-pes_Arab	22.53	40.20	0.993
jpn_Jpan-hne_Deva	16.23	35.59	0.976
rus_Cyrl-plt_Latn	18.66	45.09	1.031
zho_Hant-kor_Hang	16.58	25.38	1.022
dan_Latn-fij_Latn	20.57	44.79	0.988
uig_Arab-nus_Latn	10.73	24.57	1.067
urd_Arab-ilo_Latn	19.92	45.93	0.980
mos_Latn-ltz_Latn	8.09	25.75	1.059
azb_Arab-taq_Tfng	4.49	15.65	0.973
glg_Latn-afr_Latn	32.83	55.08	0.996
bel_Cyrl-knc_Arab	4.17	9.41	1.187
cjk_Latn-srp_Cyrl	7.69	24.20	0.925
szl_Latn-ayr_Latn	6.92	29.90	1.092
mlt_Latn-dyu_Latn	1.59	14.43	0.810
som_Latn-ltz_Latn	18.45	38.58	0.940
ltz_Latn-ben_Beng	26.99	41.86	0.988
hun_Latn-bel_Cyrl	21.50	36.90	0.876
glg_Latn-ceb_Latn	26.55	52.08	1.028
zho_Hant-por_Latn	25.95	47.66	1.030
pag_Latn-kin_Latn	13.23	35.18	0.984
san_Deva-tsn_Latn	13.17	37.49	1.019
ces_Latn-ajp_Arab	23.66	40.30	1.010
hye_Armn-yor_Latn	9.09	24.30	1.169
ssw_Latn-uig_Arab	13.73	28.49	0.984
fij_Latn-dan_Latn	17.43	37.80	0.954
lin_Latn-war_Latn	19.18	42.86	0.943
dzo_Tibt-pan_Guru	14.77	29.05	0.929
sun_Latn-zho_Hans	22.04	19.75	0.897
eng_Latn-spa_Latn	33.60	54.28	0.925
crh_Latn-isl_Latn	21.73	40.08	0.967
knc_Arab-zsm_Latn	1.89	16.81	1.230
ltg_Latn-gaz_Latn	7.90	32.34	1.036
mal_Mlym-tzm_Tfng	15.44	26.70	1.032
heb_Hebr-prs_Arab	23.87	45.25	1.011
ltg_Latn-apc_Arab	20.27	36.48	1.008
kik_Latn-lim_Latn	8.45	26.16	0.958
lmo_Latn-gaz_Latn	8.16	32.19	1.046
lug_Latn-dik_Latn	4.40	19.27	1.182
smo_Latn-kaz_Cyrl	17.94	36.22	0.959
apc_Arab-bho_Deva	14.84	34.72	0.949
war_Latn-pag_Latn	18.63	45.66	1.148
tuk_Latn-sat_Beng	14.18	22.45	0.910
zho_Hant-sag_Latn	5.60	30.85	1.218
lmo_Latn-apc_Arab	20.61	36.47	1.012
arz_Arab-ace_Latn	7.33	32.27	0.973
zho_Hant-tum_Latn	7.38	28.96	0.981
min_Latn-tpi_Latn	16.30	41.00	0.795
jpn_Jpan-tgk_Cyrl	21.35	38.57	0.925
aeb_Arab-gla_Latn	17.40	40.66	1.019
kmr_Latn-slk_Latn	19.81	38.85	0.936
som_Latn-lmo_Latn	5.85	25.14	0.899
hrv_Latn-ydd_Hebr	11.21	31.01	0.998
war_Latn-srp_Cyrl	27.66	46.68	0.954
slk_Latn-tir_Ethi	13.48	21.84	1.018
kam_Latn-sna_Latn	7.70	27.14	0.828
fao_Latn-mar_Deva	16.62	34.35	0.956
kea_Latn-som_Latn	14.75	38.92	1.024
lus_Latn-bho_Deva	11.35	27.21	0.976
oci_Latn-tir_Ethi	13.28	22.65	1.111
srp_Cyrl-ibo_Latn	14.92	36.21	1.039
lug_Latn-uzn_Latn	12.89	31.06	0.895
snd_Arab-ilo_Latn	20.29	46.33	0.995
sag_Latn-ewe_Latn	7.18	25.89	1.013
als_Latn-srd_Latn	26.93	49.93	1.042
ast_Latn-ace_Latn	9.26	33.61	1.030
epo_Latn-lao_Laoo	24.66	40.76	0.932
swe_Latn-ars_Arab	27.46	42.86	0.918
isl_Latn-hin_Deva	23.35	41.57	0.961
kik_Latn-jpn_Jpan	7.88	13.79	1.169
twi_Latn-min_Latn	10.99	33.02	1.041
cjk_Latn-pag_Latn	7.45	28.70	1.055
ckb_Arab-kat_Geor	24.13	40.28	0.930
taq_Tfng-mri_Latn	6.78	26.01	0.994
nld_Latn-nso_Latn	16.21	41.79	1.043
hne_Deva-ilo_Latn	20.16	47.76	1.049
twi_Latn-fao_Latn	11.75	30.01	0.977
khk_Cyrl-eus_Latn	10.01	30.72	0.848
srp_Cyrl-bjn_Latn	15.44	41.78	1.015
spa_Latn-ces_Latn	27.00	45.16	1.003
nya_Latn-swh_Latn	21.04	44.02	0.959
gaz_Latn-bem_Latn	6.88	30.19	0.913
mal_Mlym-ace_Latn	6.99	31.88	1.104
nso_Latn-tso_Latn	22.07	45.45	0.982
slk_Latn-kmb_Latn	3.54	23.49	0.922
min_Latn-dyu_Latn	2.26	16.40	0.926
ben_Beng-heb_Hebr	26.82	42.69	0.980
ilo_Latn-lit_Latn	21.36	42.42	0.976
asm_Beng-kmr_Latn	12.38	31.95	1.011
sat_Beng-lit_Latn	9.53	29.08	1.012
nld_Latn-apc_Arab	22.01	37.52	0.995
nld_Latn-gaz_Latn	7.81	31.94	1.039
tuk_Latn-uzn_Latn	25.18	44.52	0.972
est_Latn-eng_Latn	42.23	62.25	0.989
zho_Hans-ibo_Latn	14.20	34.83	0.997
uig_Arab-szl_Latn	16.53	34.05	0.946
bho_Deva-ben_Beng	25.76	39.56	1.003
lao_Laoo-fur_Latn	24.64	44.21	0.984
bel_Cyrl-tso_Latn	13.96	39.77	1.052
bak_Cyrl-pan_Guru	24.63	38.65	0.966
zho_Hans-bjn_Latn	11.85	38.23	1.061
ukr_Cyrl-kab_Latn	10.37	29.51	1.078
zsm_Latn-ast_Latn	23.28	46.01	0.990
ceb_Latn-ast_Latn	23.27	46.22	1.003
kab_Latn-bak_Cyrl	13.01	31.25	0.969
ron_Latn-als_Latn	32.56	52.80	0.963
hrv_Latn-xho_Latn	16.97	40.72	1.019
kas_Deva-pag_Latn	10.36	35.71	1.186
swe_Latn-tsn_Latn	20.43	44.85	1.022
